Id,EffectiveDate,EntityCode,CounterpartyId,SecurityId,SecurityType,SecuritySubType,CountryOfExposure,Agreement_Type,MarketValueUSD,Swap_GL,Swap_Gain,Swap_Loss,Swap_Collat,Net_Swap_Gain,Net_Swap_Loss,Fwd_GL,Fwd_Gain,Fwd_Loss,Fut_Collat,Fut_Margin,Repo_GL,Repo_Collat,Net_Exposure,Pos_Neg_Ind,NetSwapOptUnreal,NetFwdOptUnreal,AllCollateral,NetSwapOptExposure,GrossOTCPosExposure,GrossOTCNegExposure,FuturesMargin,FuturesCollateral,FuturesExposure,RepoExposure,AnyExposure,SwapFwdGain,SwapFwdLoss,SwapFwdGL,ViewAnyGain,ViewAnyLoss,NotionalMvUSD,LookThruExposure,CashMVUSDInvested,CashMVUSDSubCustAcct,Loan_Pos,Loan_Neg,Loan_Net,Option_Collat,InvestmentGroup,Repo_Gain,Repo_Loss,NettingAgreementInPlace,NettingAgreementApplied,CCPId,CCMarketValueUSD,cleared_otc_collat,IsClearable
6239801,1/28/2005,9X2IA9H9X2I,3,313770,SWAP           ,IRSWAP,ID,OTC,0,0,0,0,,0,0,0,0,0,,0,0,,0,P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,314120478.5,,,,0,0,0,,XIM       ,0,0,,0,2,-36207.19,,Y
6239802,1/28/2005,9X2IA9H9X2I,3,313773,SWAP           ,IRSWAP,AR,OTC,0,0,0,0,,0,0,0,0,0,,0,0,,0,P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1294452175,,,,0,0,0,,XIM       ,0,0,,0,2,-3504574.8,,Y
6239803,1/28/2005,9X2IA9H9X2I,3,313776,SWAP           ,IRSWAP,AR,OTC,0,0,0,0,,0,0,0,0,0,,0,0,,0,P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-294391819.7,,,,0,0,0,,XIM       ,0,0,,0,2,-2147469.66,,Y
6239804,1/28/2005,9X2IA9H9X2I,3,313880,SWAP           ,IRSWAP,MY,OTC,0,0,0,0,,0,0,0,0,0,,0,0,,0,P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-113232041.8,,,,0,0,0,,XIM       ,0,0,,0,2,-1213291.78,,Y
6239805,1/28/2005,9X2IA9H9X2I,3,313883,SWAP           ,IRSWAP,MY,OTC,0,0,0,0,,0,0,0,0,0,,0,0,,0,P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,462690580.7,,,,0,0,0,,XIM       ,0,0,,0,2,1173330.66,,Y
6239806,1/28/2005,9X2IA9H9X2I,3,313913,SWAP           ,IRSWAP,MK,OTC,0,0,0,0,,0,0,0,0,0,,0,0,,0,P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1052375379,,,,0,0,0,,XIM       ,0,0,,0,2,2409634.12,,Y
6239807,1/28/2005,9X2IA9H9X2I,3,313916,SWAP           ,IRSWAP,MK,OTC,0,0,0,0,,0,0,0,0,0,,0,0,,0,P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-235534331.2,,,,0,0,0,,XIM       ,0,0,,0,2,15168.83,,Y
6239808,1/28/2005,9X2IA9H9X2I,3,314330,SWAP           ,IRSWAP,NL,OTC,0,0,0,0,,0,0,0,0,0,,0,0,,0,P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-266921483.1,,,,0,0,0,,XIM       ,0,0,,0,2,-8735015.09,,Y
6239809,1/28/2005,9X2IA9H9X2I,3,314660,SWAP           ,IRSWAP,MY,OTC,0,0,0,0,,0,0,0,0,0,,0,0,,0,P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53528931.98,,,,0,0,0,,XIM       ,0,0,,0,2,-240068.02,,Y
6238266,1/28/2005,9X2IA9H9X2I,3,314925,REPO           ,REPO,AR,REPO,-18221494.23,0,0,0,,0,0,0,0,0,,0,483776.8235,,483776.8235,P,0,0,0,0,0,0,0,0,0,483776.8235,483776.8235,0,0,0,483776.8235,0,0,,,,0,0,0,,XIM       ,483776.8235,0,,0,-1,0,,
